B000001,COX-2 Inhibitor,LINE 3,2024-02-24,Team C,21.33,40.07,336,41.4,6.85,99.55,6.59,126.8,88.59,95.69,Pass,No,None,None,Feb-24,0,0,0,0,0,0,0
B000002,GLP-1 Agonist,Line 2,2025-01-01,Team B,22.64,31.48,309,52.8,9.05,99.1,6.97,124.8,84.97,94.71,Pass,No,None,None,Jan-25,0,0,0,0,0,0,0
B000003,AED,Line 1,2025-02-20,Team A,,42.43,337,41.3,7.32,98.88,7.04,108.9,89.62,92.93,Pass,No,None,None,Feb-25,1,0,0,0,0,0,1
B000004,COX-2 Inhibitor,Line 3,2025-06-19,Team A,22.76,40.59,339,29.5,6.33,98.87,6.63,117.4,89.08,91.32,Pass,Yes,Equipment,Major,Jun-25,0,0,0,0,0,0,0
B000005,Antidepressant,Line 1,2025-02-22,Team C,22.12,35.37,318,30.9,6.06,99.26,6.95,126.7,90.43,92.66,Pass,No,None,None,Feb-25,0,0,0,0,0,0,0
B000006,AED,Line 3,2024-05-17,Team C,22.84,47.88,304,42.8,6.7,98.11,6.9,128.7,88.12,96.45,Pass,No,None,None,May-24,0,0,0,0,0,0,0
B000007,COX-2 Inhibitor,Line 2,2024-09-25,Team C,23.41,49.38,298,37.1,6.11,99.11,6.93,137.9,93.03,94.69,Pass,No,None,None,Sep-24,0,0,0,0,0,0,0
B000008,AED,Line 1,2024-11-20,Team A,22.67,43.86,316,42.2,7.62,99.04,7.1,115,90.95,95.2,Pass,No,None,None,Nov-24,0,0,0,0,0,0,0
B000009,Antidepressant,Line 1,2025-12-20,Team C,22.34,40.47,307,37.2,6.6,99.05,6.61,115.5,91.64,92.95,Pass,No,None,None,Dec-25,0,0,0,0,0,0,0
B000010,GLP-1 Agonist,Line 3,2025-01-24,Team A,21.24,42.17,281,52.6,7.78,98.85,7.07,144.9,86.17,91.47,Pass,No,None,None,Jan-25,0,0,0,0,0,0,0
B000011,GLP-1 Agonist,Line 1,2025-04-09,Team A,22.08,39.9,308,50.5,7.42,98.58,6.64,144,84.59,93.25,Pass,No,None,None,Apr-25,0,0,0,0,0,0,0
B000012,AED,Line 3,2025-06-21,Team B,22.41,38.59,289,46.6,8.06,99.39,6.95,128.3,87.71,96.11,Pass,No,None,None,Jun-25,0,0,0,0,0,0,0
B000013,COX-2 Inhibitor,Line 3,2024-09-21,Team C,22.36,39.74,355,44,7.11,99.09,6.53,115.1,85.62,95.13,Pass,No,None,None,Sep-24,0,0,0,0,0,0,0
B000014,AED,Line 3,2025-12-06,Team C,21.54,42.52,324,41.9,7.2,98.7,6.98,135.8,86.51,91.02,Pass,No,None,None,Dec-25,0,0,0,0,0,0,0
B000015,GLP-1 Agonist,Line 1,2025-05-08,Team D,22.35,41.24,293,41,7.38,99.06,7.08,134.3,91.18,93.31,Pass,No,None,None,May-25,0,0,0,0,0,0,0
